Age,Debt,Married,BankCustomer,Industry,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
32.67,5.5,1,1,Materials,5.5,1,1,12,1,ByBirth,00408,1000,1
48.58,6.5,1,1,Materials,6,1,0,0,1,ByBirth,00350,0,1
39.92,0.54,0,0,ConsumerStaples,0.5,1,1,3,0,ByBirth,00200,1000,1
33.58,2.75,1,1,CommunicationServices,4.25,1,1,6,0,ByBirth,00204,0,1
18.83,9.5,1,1,Industrials,1.625,1,1,6,1,ByBirth,00040,600,1
26.92,13.5,1,1,Materials,5,1,1,2,0,ByBirth,00000,5000,1
31.25,3.75,1,1,InformationTechnology,0.625,1,1,9,1,ByBirth,00181,0,1
56.5,16,1,1,Research,0,1,1,15,0,ByBirth,00000,247,1
43,0.29,0,0,InformationTechnology,1.75,1,1,8,0,ByBirth,00100,375,1
22.33,11,1,1,Industrials,2,1,1,1,0,ByBirth,00080,278,1
27.25,1.665,1,1,InformationTechnology,5.085,1,1,9,0,ByBirth,00399,827,1
32.83,2.5,1,1,InformationTechnology,2.75,1,1,6,0,ByBirth,00160,2072,1
23.25,1.5,1,1,Materials,2.375,1,1,3,1,ByBirth,00000,582,1
40.33,7.54,0,0,Materials,8,1,1,14,0,ByBirth,00000,2300,1
30.5,6.5,1,1,Energy,4,1,1,7,1,ByBirth,00000,3065,1
52.83,15,1,1,Energy,5.5,1,1,14,0,ByBirth,00000,2200,1
46.67,0.46,1,1,InformationTechnology,0.415,1,1,11,1,ByBirth,00440,6,1
58.33,10,1,1,Materials,4,1,1,14,0,ByBirth,00000,1602,1
37.33,6.5,1,1,CommunicationServices,4.25,1,1,12,1,ByBirth,00093,0,1
23.08,2.5,1,1,Energy,1.085,1,1,11,1,ByBirth,00060,2184,1
32.75,1.5,1,1,InformationTechnology,5.5,1,1,3,1,ByBirth,00000,0,1
21.67,11.5,0,0,Research,0,1,1,11,1,ByBirth,00000,0,1
28.5,3.04,0,0,Utilities,2.54,1,1,1,0,ByBirth,00070,0,1
68.67,15,1,1,Education,0,1,1,14,0,ByBirth,00000,3376,1
28,2,1,1,Financials,4.165,1,1,2,1,ByBirth,00181,0,1
34.08,0.08,0,0,CommunicationServices,0.04,1,1,1,1,ByBirth,00280,2000,1
27.67,2,1,1,Utilities,1,1,1,4,0,ByBirth,00140,7544,1
44,2,1,1,CommunicationServices,1.75,1,1,2,1,ByBirth,00000,15,1
25.08,1.71,1,1,Utilities,1.665,1,1,1,1,ByBirth,00395,20,1
32,1.75,0,0,Education,0.04,1,0,0,1,ByBirth,00393,0,1
60.58,16.5,1,1,Materials,11,1,0,0,1,ByBirth,00021,10561,1
40.83,10,1,1,Materials,1.75,1,0,0,0,ByBirth,00029,837,1
19.33,9.5,1,1,Materials,1,1,0,0,1,ByBirth,00060,400,1
32.33,0.54,1,1,InformationTechnology,0.04,1,0,0,0,ByBirth,00440,11177,1
36.67,3.25,1,1,Materials,9,1,0,0,1,ByBirth,00102,639,1
37.5,1.125,0,0,Real Estate,1.5,0,0,0,1,ByBirth,00431,0,1
25.08,2.54,0,0,ConsumerStaples,0.25,1,0,0,1,ByBirth,00370,0,1
41.33,0,1,1,Energy,15,1,0,0,0,ByBirth,00000,0,1
56,12.5,1,1,Financials,8,1,0,0,1,ByBirth,00024,2028,1
49.83,13.585,1,1,Financials,8.5,1,0,0,1,ByBirth,00000,0,1
22.67,10.5,1,1,Materials,1.335,1,0,0,0,ByBirth,00100,0,1
27,1.5,0,0,Industrials,0.375,1,0,0,1,ByBirth,00260,1065,1
25,12.5,1,1,ConsumerStaples,3,1,0,0,1,ByOtherMeans,00020,0,1
26.08,8.665,1,1,ConsumerStaples,1.415,1,0,0,0,ByBirth,00160,150,1
18.42,9.25,1,1,Materials,1.21,1,1,4,0,ByBirth,00060,540,1
20.17,8.17,1,1,ConsumerStaples,1.96,1,1,14,0,ByBirth,00060,158,1
47.67,0.29,1,1,Energy,15,1,1,20,0,ByBirth,00000,15000,1
21.25,2.335,1,1,ConsumerDiscretionary,0.5,1,1,4,0,ByOtherMeans,00080,0,1
20.67,3,1,1,Materials,0.165,1,1,3,0,ByBirth,00100,6,1
57.08,19.5,1,1,Energy,5.5,1,1,7,0,ByBirth,00000,3000,1
22.42,5.665,1,1,Materials,2.585,1,1,7,0,ByBirth,00129,3257,1
48.75,8.5,1,1,Energy,12.5,1,1,9,0,ByBirth,00181,1655,1
40,6.5,1,1,ConsumerStaples,3.5,1,1,1,0,ByBirth,00000,500,1
40.58,5,1,1,Energy,5,1,1,7,0,ByBirth,00000,3065,1
28.67,1.04,1,1,Energy,2.5,1,1,5,1,ByBirth,00300,1430,1
33.08,4.625,1,1,Materials,1.625,1,1,2,0,ByBirth,00000,0,1
21.33,10.5,1,1,Energy,3,1,0,0,1,ByBirth,00000,0,1
42,0.205,1,1,ConsumerDiscretionary,5.125,1,0,0,0,ByBirth,00400,0,1
41.75,0.96,1,1,Utilities,2.5,1,0,0,0,ByBirth,00510,600,1
22.67,1.585,0,0,Industrials,3.085,1,1,6,0,ByBirth,00080,0,1
34.5,4.04,0,0,ConsumerDiscretionary,8.5,1,1,7,1,ByBirth,00195,0,1
28.25,5.04,0,0,Energy,1.5,1,1,8,1,ByBirth,00144,7,1
33.17,3.165,0,0,Utilities,3.165,1,1,3,1,ByBirth,00380,0,1
48.17,7.625,1,1,Industrials,15.5,1,1,12,0,ByBirth,00000,790,1
27.58,2.04,0,0,ConsumerStaples,2,1,1,3,1,ByBirth,00370,560,1
22.58,10.04,1,1,Utilities,0.04,1,1,9,0,ByBirth,00060,396,1
24.08,0.5,1,1,Materials,1.25,1,1,1,0,ByBirth,00000,678,1
41.33,1,1,1,ConsumerDiscretionary,2.25,1,0,0,1,ByBirth,00000,300,1
24.83,2.75,1,1,Energy,2.25,1,1,6,0,ByBirth,00000,600,1
20.75,10.25,1,1,Materials,0.71,1,1,2,1,ByBirth,00049,0,1
36.33,2.125,0,0,Industrials,0.085,1,1,1,0,ByBirth,00050,1187,1
35.42,12,1,1,Materials,14,1,1,8,0,ByBirth,00000,6590,1
71.58,0,1,1,Energy,0,0,0,0,0,Temporary,00000,0,1
28.67,9.335,1,1,Materials,5.665,1,1,6,0,ByBirth,00381,168,1
35.17,2.5,1,1,Financials,4.5,1,1,7,0,ByBirth,00150,1270,1
39.5,4.25,1,1,Energy,6.5,1,1,16,0,ByBirth,00117,1210,1
39.33,5.875,1,1,InformationTechnology,10,1,1,14,1,ByBirth,00399,0,1
24.33,6.625,0,0,Real Estate,5.5,1,0,0,1,ByOtherMeans,00100,0,1
60.08,14.5,1,1,Healthcare,18,1,1,15,1,ByBirth,00000,1000,1
23.08,11.5,1,1,ConsumerDiscretionary,3.5,1,1,9,0,ByBirth,00056,742,1
26.67,2.71,0,0,InformationTechnology,5.25,1,1,1,0,ByBirth,00211,0,1
48.17,3.5,1,1,ConsumerStaples,3.5,1,0,0,0,ByOtherMeans,00230,0,1
41.17,4.04,1,1,InformationTechnology,7,1,1,8,0,ByBirth,00320,0,1
55.92,11.5,1,1,Healthcare,5,1,1,5,0,ByBirth,00000,8851,1
53.92,9.625,1,1,Education,8.665,1,1,5,0,ByBirth,00000,0,1
18.92,9.25,0,0,Energy,1,1,1,4,1,ByBirth,00080,500,1
50.08,12.54,1,1,ConsumerStaples,2.29,1,1,3,1,ByBirth,00156,0,1
65.42,11,1,1,Education,20,1,1,7,1,ByBirth,00022,0,1
17.58,9,1,1,ConsumerStaples,1.375,1,0,0,1,ByBirth,00000,0,1
18.83,9.54,1,1,ConsumerStaples,0.085,1,0,0,0,ByBirth,00100,0,1
37.75,5.5,1,1,Materials,0.125,1,0,0,1,ByBirth,00228,0,1
23.25,4,1,1,Energy,0.25,1,0,0,1,ByBirth,00160,0,1
18.08,5.5,1,1,Financials,0.5,1,0,0,0,ByBirth,00080,0,1
22.5,8.46,0,0,Utilities,2.46,0,0,0,0,ByBirth,00164,0,1
19.67,0.375,1,1,Materials,2,1,1,2,1,ByBirth,00080,0,1
22.08,11,1,1,InformationTechnology,0.665,1,0,0,0,ByBirth,00100,0,1
25.17,3.5,1,1,InformationTechnology,0.625,1,1,7,0,ByBirth,00000,7059,1
47.42,3,1,1,Utilities,13.875,1,1,2,1,ByBirth,00519,1704,1
33.5,1.75,1,1,Utilities,4.5,1,1,4,1,ByBirth,00253,857,1
27.67,13.75,1,1,Industrials,5.75,1,0,0,1,ByBirth,00487,500,1
58.42,21,1,1,ConsumerDiscretionary,10,1,1,13,0,ByBirth,00000,6700,1
20.67,1.835,1,1,Materials,2.085,1,1,5,0,ByBirth,00220,2503,1
26.17,0.25,1,1,ConsumerDiscretionary,0,1,0,0,1,ByBirth,00000,0,1
21.33,7.5,1,1,ConsumerStaples,1.415,1,1,1,0,ByBirth,00080,9800,1
42.83,4.625,1,1,Materials,4.58,1,0,0,0,ByOtherMeans,00000,0,1
38.17,10.125,1,1,Utilities,2.5,1,1,6,0,ByBirth,00520,196,1
20.5,10,0,0,Energy,2.5,1,0,0,0,ByOtherMeans,00040,0,1
48.25,25.085,1,1,Industrials,1.75,1,1,3,0,ByBirth,00120,14,1
28.33,5,1,1,Industrials,11,1,0,0,1,ByBirth,00070,0,1
18.75,7.5,1,1,Materials,2.71,1,1,5,0,ByBirth,00000,26726,1
18.5,2,1,1,ConsumerDiscretionary,1.5,1,1,2,0,ByBirth,00120,300,1
33.17,3.04,0,0,Energy,2.04,1,1,1,1,ByBirth,00180,18027,1
45,8.5,1,1,InformationTechnology,14,1,1,1,1,ByBirth,00088,2000,1
19.67,0.21,1,1,Materials,0.29,1,1,11,0,ByBirth,00080,99,1
24.5,12.75,1,1,Energy,4.75,1,1,2,0,ByBirth,00073,444,1
21.83,11,1,1,Utilities,0.29,1,1,6,0,ByBirth,00121,0,1
40.25,21.5,1,1,Education,20,1,1,11,0,ByBirth,00000,1200,1
41.42,5,1,1,Materials,5,1,1,6,1,ByBirth,00470,0,1
17.83,11,1,1,Utilities,1,1,1,11,0,ByBirth,00000,3000,1
23.17,11.125,1,1,Utilities,0.46,1,1,1,0,ByBirth,00100,0,1
28.46,0.625,1,1,Financials,0.25,0,0,0,0,ByBirth,00380,2010,0
18.17,10.25,1,1,Energy,1.085,0,0,0,0,ByBirth,00320,13,0
20,11.045,1,1,Energy,2,0,0,0,1,ByBirth,00136,0,0
20,0,1,1,Real Estate,0.5,0,0,0,0,ByBirth,00144,0,0
20.75,9.54,1,1,ConsumerDiscretionary,0.04,0,0,0,0,ByBirth,00200,1000,0
24.5,1.75,0,0,Energy,0.165,0,0,0,0,ByBirth,00132,0,0
32.75,2.335,1,1,Real Estate,5.75,0,0,0,1,ByBirth,00292,0,0
52.17,0,0,0,Healthcare,0,0,0,0,0,ByBirth,00000,0,0
48.17,1.335,1,1,ConsumerDiscretionary,0.335,0,0,0,0,ByBirth,00000,120,0
20.42,10.5,0,0,Utilities,0,0,0,0,1,ByBirth,00154,32,0
50.75,0.585,1,1,Healthcare,0,0,0,0,0,ByBirth,00145,0,0
17.08,0.085,0,0,Energy,0.04,0,0,0,0,ByBirth,00140,722,0
18.33,1.21,0,0,Education,0,0,0,0,0,ByBirth,00100,0,0
32,6,1,1,Real Estate,1.25,0,0,0,0,ByBirth,00272,0,0
59.67,1.54,1,1,Materials,0.125,1,0,0,1,ByBirth,00260,0,1
18,0.165,1,1,Materials,0.21,0,0,0,0,ByBirth,00200,40,1
37.58,0,1,1,Energy,0,0,0,0,0,Temporary,00000,0,1
32.33,2.5,1,1,Energy,1.25,0,0,0,1,ByBirth,00280,0,0
18.08,6.75,0,0,CommunicationServices,0.04,0,0,0,0,ByBirth,00140,0,0
38.25,10.125,0,0,Financials,0.125,0,0,0,0,ByBirth,00160,0,0
30.67,2.5,1,1,InformationTechnology,2.25,0,0,0,1,ByOtherMeans,00340,0,0
18.58,5.71,1,1,Real Estate,0.54,0,0,0,0,ByBirth,00120,0,0
19.17,5.415,1,1,ConsumerDiscretionary,0.29,0,0,0,0,ByBirth,00080,484,0
18.17,10,0,0,Materials,0.165,0,0,0,0,ByBirth,00340,0,0
24.58,13.5,0,0,Healthcare,0,0,0,0,0,ByBirth,00000,0,0
16.25,0.835,1,1,CommunicationServices,0.085,1,0,0,0,ByOtherMeans,00200,0,0
21.17,0.875,0,0,Energy,0.25,0,0,0,0,ByBirth,00280,204,0
23.92,0.585,0,0,InformationTechnology,0.125,0,0,0,0,ByBirth,00240,1,0
17.67,4.46,1,1,Energy,0.25,0,0,0,0,ByOtherMeans,00080,0,0
16.5,1.25,1,1,Materials,0.25,0,1,1,0,ByBirth,00108,98,0
23.25,12.625,1,1,Energy,0.125,0,1,2,0,ByBirth,00000,5552,0
17.58,10,1,1,Industrials,0.165,0,1,1,0,ByBirth,00120,1,0
28.46,1.5,1,1,Healthcare,0,0,1,2,1,ByBirth,00200,105,0
29.5,0.58,1,1,Industrials,0.29,0,1,1,0,ByBirth,00340,2803,0
18.83,0.415,0,0,Energy,0.165,0,1,1,0,ByBirth,00200,1,0
21.75,1.75,0,0,Research,0,0,0,0,0,ByBirth,00160,0,0
23,0.75,1,1,CommunicationServices,0.5,0,0,0,1,ByOtherMeans,00320,0,0
18.25,10,1,1,Industrials,1,0,1,1,0,ByBirth,00120,1,0
25.42,0.54,1,1,Industrials,0.165,0,1,1,0,ByBirth,00272,444,0
35.75,2.415,1,1,Industrials,0.125,0,1,2,0,ByBirth,00220,1,0
16.08,0.335,1,1,Healthcare,0,0,1,1,0,ByBirth,00160,126,0
31.92,3.125,1,1,Healthcare,3.04,0,1,2,1,ByBirth,00200,4,0
69.17,9,1,1,Healthcare,4,0,1,1,0,ByBirth,00070,6,0
32.92,2.5,1,1,ConsumerStaples,1.75,0,1,2,1,ByBirth,00720,0,0
16.33,2.75,1,1,ConsumerStaples,0.665,0,1,1,0,ByBirth,00080,21,0
22.17,12.125,1,1,Energy,3.335,0,1,2,1,ByBirth,00180,173,0
57.58,2,1,1,Healthcare,6.5,0,1,1,0,ByBirth,00000,10,0
18.25,0.165,1,1,Real Estate,0.25,0,0,0,1,ByOtherMeans,00280,0,0
23.42,1,1,1,Energy,0.5,0,0,0,1,ByOtherMeans,00280,0,0
15.92,2.875,1,1,Materials,0.085,0,0,0,0,ByBirth,00120,0,0
24.75,13.665,1,1,Materials,1.5,0,0,0,0,ByBirth,00280,1,0
48.75,26.335,0,0,Healthcare,0,1,0,0,1,ByBirth,00000,0,0
23.5,2.75,1,1,Healthcare,4.5,0,0,0,0,ByBirth,00160,25,0
18.58,10.29,1,1,Healthcare,0.415,0,0,0,0,ByBirth,00080,0,0
27.75,1.29,1,1,Financials,0.25,0,0,0,1,ByOtherMeans,00140,0,0
31.75,3,0,0,Research,0,0,0,0,0,ByBirth,00160,20,0
24.83,4.5,1,1,Industrials,1,0,0,0,1,ByBirth,00360,6,0
19,1.75,0,0,Energy,2.335,0,0,0,1,ByBirth,00112,6,0
16.33,0.21,1,1,ConsumerStaples,0.125,0,0,0,0,ByBirth,00200,1,0
18.58,10,1,1,Real Estate,0.415,0,0,0,0,ByBirth,00080,42,0
16.25,0,0,0,ConsumerStaples,0.25,0,0,0,0,ByBirth,00060,0,0
23,0.75,1,1,CommunicationServices,0.5,1,0,0,1,ByOtherMeans,00320,0,0
21.17,0.25,0,0,Energy,0.25,0,0,0,0,ByBirth,00280,204,0
17.5,22,0,1,Healthcare,0,0,0,0,1,Temporary,00450,100000,1
19.17,0,0,0,CommunicationServices,0,0,0,0,1,ByOtherMeans,00500,1,1
36.75,0.125,0,0,Energy,1.5,0,0,0,1,ByBirth,00232,113,1
21.25,1.5,1,1,Industrials,1.5,0,0,0,0,ByBirth,00150,8,1
18.08,0.375,0,1,InformationTechnology,10,0,0,0,1,ByOtherMeans,00300,0,1
33.67,0.375,1,1,InformationTechnology,0.375,0,0,0,0,ByBirth,00300,44,1
48.58,0.205,0,0,Financials,0.25,1,1,11,0,ByBirth,00380,2732,1
33.67,1.25,1,1,Industrials,1.165,0,0,0,0,ByBirth,00120,0,0
29.5,1.085,0,0,Utilities,1,0,0,0,0,ByBirth,00280,13,0
30.17,1.085,0,0,Energy,0.04,0,0,0,0,ByBirth,00170,179,0
40.83,3.5,1,1,ConsumerDiscretionary,0.5,0,0,0,0,ByOtherMeans,01160,0,0
34.83,2.5,0,0,Industrials,3,0,0,0,0,ByOtherMeans,00200,0,0
